ID,Category,EmotionType,RunID,ConList,ConID,ConLabel,BlockRep,TrialType,CB,ImageFile,FixISI
Faces_146_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_146_h.jpg,0.5
Animals_068_h,Animals,Negative,3,3,emo1,within SF?,1,Old,A,Stimuli/Animals_068_h.jpg,3.961
Animals_056_h,Animals,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Animals_056_h.jpg,0.5
Objects_259_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_259_h.jpg,0.5
Faces_208_h,Faces,Neutral,1,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_208_h.jpg,3.506
Faces_312_h,Faces,Neutral,6,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_312_h.jpg,1.922
Objects_137_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_137_h.jpg,0.5
Faces_019_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_019_h.jpg,0.5
Faces_372_h,Faces,Negative,5,4,emo2,professional photo?,1,Old,A,Stimuli/Faces_372_h.jpg,3.654
Animals_012_h,Animals,Negative,1,3,emo1,within SF?,2,Old,A,Stimuli/Animals_012_h.jpg,0.864
Objects_001_h,Objects,Negative,2,3,emo1,within SF?,1,Old,A,Stimuli/Objects_001_h.jpg,0.824
Animals_054_h,Animals,Negative,4,4,emo2,professional photo?,2,Old,A,Stimuli/Animals_054_h.jpg,5.089
Objects_039_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_039_h.jpg,0.5
Faces_355_h,Faces,Neutral,2,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_355_h.jpg,1.237
Objects_112_h,Objects,Neutral,2,1,neu1,within SF?,1,Old,A,Stimuli/Objects_112_h.jpg,3.654
Faces_283_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_283_h.jpg,0.5
Faces_072_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_072_h.jpg,0.5
Objects_110_v,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_110_v.jpg,0.5
Objects_011_h,Objects,Negative,5,3,emo1,within SF?,1,Old,A,Stimuli/Objects_011_h.jpg,1.151
Faces_170_h,Faces,Negative,1,3,emo1,within SF?,1,Old,A,Stimuli/Faces_170_h.jpg,1.496
Animals_074_h,Animals,Negative,3,3,emo1,within SF?,1,Old,A,Stimuli/Animals_074_h.jpg,1.234
Objects_188_v,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_188_v.jpg,0.5
Objects_130_h,Objects,Neutral,2,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_130_h.jpg,1.151
Objects_153_h,Objects,Negative,5,4,emo2,professional photo?,2,Old,A,Stimuli/Objects_153_h.jpg,5.089
Faces_044_h,Faces,Neutral,5,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_044_h.jpg,3.582
Animals_062_h,Animals,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Animals_062_h.jpg,0.5
Objects_313_h,Objects,Neutral,4,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_313_h.jpg,3.961
Faces_276_h,Faces,Neutral,3,1,neu1,within SF?,1,Old,A,Stimuli/Faces_276_h.jpg,0.798
Faces_056_h,Faces,Neutral,3,1,neu1,within SF?,1,Old,A,Stimuli/Faces_056_h.jpg,0.834
Animals_105_h,Animals,Neutral,1,1,neu1,within SF?,1,Old,A,Stimuli/Animals_105_h.jpg,1.997
Objects_297_h,Objects,Neutral,5,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_297_h.jpg,2.814
Objects_149_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_149_h.jpg,0.5
