14.4440 	EXP 	scale_sourcerec: autoDraw = False
14.4440 	EXP 	image_3: image = u'PracticeStim/cat1.jpg'
14.4440 	EXP 	image_3: autoDraw = True
14.4440 	EXP 	scale_sourceconf: autoDraw = True
15.1281 	DATA 	Keypress: v
15.1440 	EXP 	image_3: autoDraw = False
15.1440 	EXP 	scale_sourceconf: autoDraw = False
15.1440 	EXP 	fixation_2: autoDraw = True
15.3781 	EXP 	New trial (rep=0, index=2): {'Category': u'catdog', 'FixISI': 1.7549999999999999, 'ConList': 4, 'CB': u'A', 'ConLabel': u'prof photog?', 'ImageFile': u'PracticeStim/catdog.jpg', 'EmotionType': None, 'RunID': 1, 'ConID': u'D', 'BlockRep': 1, 'ID': u'catdog', 'TrialType': u'Old'}
15.4130 	EXP 	window1: recordFrameIntervals = False
15.4272 	EXP 	fixation_2: autoDraw = False
15.4272 	EXP 	fixation_2: autoDraw = False
15.4272 	EXP 	takeBreak: autoDraw = True
15.4272 	EXP 	takeBreak: autoDraw = False
15.4272 	EXP 	image_2: image = u'PracticeStim/catdog.jpg'
15.4272 	EXP 	fixISI: autoDraw = True
15.4273 	EXP 	window1: recordFrameIntervals = False
15.9276 	EXP 	image_2: autoDraw = True
15.9276 	EXP 	scale_itemrec: autoDraw = True
15.9276 	EXP 	fixISI: autoDraw = False
16.8448 	DATA 	Keypress: n
16.8942 	EXP 	image_2: autoDraw = False
16.8942 	EXP 	scale_itemrec: autoDraw = False
16.8942 	EXP 	fixISI: autoDraw = False
16.8942 	EXP 	image: image = u'PracticeStim/catdog.jpg'
16.8942 	EXP 	image: autoDraw = True
16.8942 	EXP 	scale_sourcerec: autoDraw = True
17.4952 	DATA 	Keypress: b
17.5441 	EXP 	image: autoDraw = False
17.5441 	EXP 	scale_sourcerec: autoDraw = False
17.5441 	EXP 	image_3: image = u'PracticeStim/catdog.jpg'
17.5441 	EXP 	image_3: autoDraw = True
17.5441 	EXP 	scale_sourceconf: autoDraw = True
18.0632 	DATA 	Keypress: v
18.0783 	EXP 	image_3: autoDraw = False
18.0783 	EXP 	scale_sourceconf: autoDraw = False
18.0783 	EXP 	fixation_2: autoDraw = True
18.3120 	EXP 	New trial (rep=0, index=3): {'Category': u'dog', 'FixISI': 3.218, 'ConList': 4, 'CB': u'A', 'ConLabel': u'prof photog?', 'ImageFile': u'PracticeStim/dog1.jpg', 'EmotionType': None, 'RunID': 1, 'ConID': u'D', 'BlockRep': 1, 'ID': u'dog1', 'TrialType': u'Old'}
18.3572 	EXP 	window1: recordFrameIntervals = False
18.3783 	EXP 	fixation_2: autoDraw = False
18.3783 	EXP 	fixation_2: autoDraw = False
18.3783 	EXP 	takeBreak: autoDraw = True
18.3783 	EXP 	takeBreak: autoDraw = False
18.3783 	EXP 	image_2: image = u'PracticeStim/dog1.jpg'
18.3783 	EXP 	fixISI: autoDraw = True
18.3784 	EXP 	window1: recordFrameIntervals = False
18.8784 	EXP 	image_2: autoDraw = True
18.8784 	EXP 	scale_itemrec: autoDraw = True
18.8784 	EXP 	fixISI: autoDraw = False
19.5460 	DATA 	Keypress: v
19.6125 	EXP 	image_2: autoDraw = False
19.6125 	EXP 	scale_itemrec: autoDraw = False
19.6125 	EXP 	fixISI: autoDraw = False
19.6125 	EXP 	image: image = u'PracticeStim/dog1.jpg'
19.6125 	EXP 	image: autoDraw = True
19.6125 	EXP 	scale_sourcerec: autoDraw = True
20.0963 	DATA 	Keypress: b
20.1625 	EXP 	image: autoDraw = False
20.1625 	EXP 	scale_sourcerec: autoDraw = False
20.1625 	EXP 	image_3: image = u'PracticeStim/dog1.jpg'
20.1625 	EXP 	image_3: autoDraw = True
20.1625 	EXP 	scale_sourceconf: autoDraw = True
20.6294 	DATA 	Keypress: v
20.6453 	EXP 	image_3: autoDraw = False
20.6453 	EXP 	scale_sourceconf: autoDraw = False
20.6453 	EXP 	fixation_2: autoDraw = True
20.8958 	EXP 	fixation_2: autoDraw = False
20.8958 	EXP 	fixation_2: autoDraw = False
20.8958 	EXP 	text: autoDraw = True
22.3136 	DATA 	Keypress: escape
